Company,Location,Sector,About,Amount,Stage,Funding Year
Bombay Shaving,Gurugram,Ecommerce,Provides a range of male grooming products,6300000.0,Early Stage,2019
Ruangguru,Mumbai,Edtech,A learning platform that provides topicbased journey animated videos quizzes infographic and mock tests to students,150000000.0,Mid Stage,2019
Eduisfun,Mumbai,Edtech,It aims to make learning fun via games,28000000.0,Other Stages,2019
Homelane,Chennai,Interior Design,Provides interior designing solutions,30000000.0,Late Stage,2019
Nu Genes,Telangana,Agritech,It is a seed company engaged in production processing and marketing of seeds,6000000.0,Early Stage,2019
Flytbase,Pune,Technology,A drone automation platform,0.0,Early Stage,2019
Finly,Bengaluru,Saas,It builds software products that makes work simpler pleasant and productive,0.0,Early Stage,2019
Kratikal,Noida,Technology,It is a productbased cybersecurity solutions provider,1000000.0,Other Stages,2019
Quantiphi,Marlborough,Ai & Tech,It is an AI and big data services company providing business solutions,20000000.0,Mid Stage,2019
Lenskart,New Delhi,E-Commerce,It is a eyewear company,275000000.0,Late Stage,2019
Cub Mcpaws,Mumbai,E-Commerce & Ar,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha  kids,0.0,SaaS,2019
Appnomic,Bengaluru,Saas,It is a selfhealing enterprise the IT operations software detects predicts and prevents problems before they happen,22000000.0,Mid Stage,2019
Kaleidofin,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,5000000.0,Mid Stage,2019
Jobsquare,Ahmedabad,Hr Tech,Technologybased platform that is connecting suitable applicants to the right recruiters,140500.0,Early Stage,2019
Open Secret,Mumbai,Food Tech,It produces and sells top quality snacks,0.0,Mid Stage,2019
Livfin,New Delhi,Fintech,Grants small business loans supply chain finance and working capital loans to small and medium enterprises,5000000.0,Mid Stage,2019
Byju'S,Bengaluru,Edtech,Provides online learning classes,540000000.0,Late Stage,2019
Zest Money,Bengaluru,Fintech,Uses AI to do risk profiling of ecommerce consumers who opt for EMI,15000000.0,Mid Stage,2019
Witblox,Mumbai,Edtech,Offers a range of robotics learning tools,182700.0,Early Stage,2019
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,0.0,Other Stages,2019
Salaryfits,London,Fintech,A platform that promotes financial wellbeing of employees at workplace,5000000.0,Mid Stage,2019
Pristyn Care,Gurugram,Healthcare,Delivers advanced medical care  clinical excellence aided by nextlevel technology,12000000.0,Mid Stage,2019
Springboard,Bengaluru,Edtech,Offers online courses and extensive mentorbased learning,11000000.0,Other Stages,2019
Dror Labs Pvt. Ltd,New Delhi,Safety Tech,It uses technology to create a trustbased network of responsible citizens to ensure safety,0.0,nan,2019
Medlife,Bengaluru,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,15500000.0,Mid Stage,2019
